"brand,""model"",""Year"",""trim"",""price"",""body_type"",""doors"",""total_seating"",""wheelbase"",""cargo_capacity"",""curb_weight"",""gross_weight"",""maximum_payload"",""towing_capacity"",""engine_size"",""horsepower"",""torque"",""drive_type"",""engine_type"",""mpg"",""image"",""electric_range"",""EPA time to charge battery (at 240V) (hr)"",""battery_capacity (KWh)"""
"Audi,""A7"",2025,""Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",77700,""Sedan"",4,5,115.2,24.9,4343,5578,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a7/2025/oem/2025_audi_a7_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A7"",2025,""Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",82450,""Sedan"",4,5,115.2,24.9,4343,5578,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a7/2025/oem/2025_audi_a7_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A7"",2025,""Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)"",72000,""Sedan"",4,5,115.2,24.9,4343,5578,1102,"""",3,335,369,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/a7/2025/oem/2025_audi_a7_sedan_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""Q3"",2025,""Premium Plus S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)"",42600,""SUV"",5,5,105.5,23.7,3902,5115,1091,"""",2,228,251,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/audi/q3/2022/oem/2022_audi_q3_4dr-suv_premium-plus-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""Q3"",2025,""Premium S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)"",39800,""SUV"",5,5,105.5,23.7,3902,5115,1091,"""",2,228,251,""all wheel drive"",""gas"",23,""https://media.ed.edmunds-media.com/audi/q3/2022/oem/2022_audi_q3_4dr-suv_premium-plus-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""Q4 e-tron"",2025,""Premium Plus 4dr SUV AWD w/55 (electric DD)"",59000,""SUV"",5,5,108.7,24.8,4850,6041,937,2650,"""",335,"""",""all wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-e-tron/2025/oem/2025_audi_q4-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",258,12,82"
"Audi,""Q4 e-tron"",2025,""Premium 4dr SUV AWD w/55 (electric DD)"",55200,""SUV"",5,5,108.7,24.8,4850,6041,937,2650,"""",335,"""",""all wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-e-tron/2025/oem/2025_audi_q4-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",258,12,82"
"Audi,""Q4 e-tron"",2025,""Prestige 4dr SUV AWD w/55 (electric DD)"",61800,""SUV"",5,5,108.7,24.8,4850,6041,937,2650,"""",335,"""",""all wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-e-tron/2025/oem/2025_audi_q4-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",258,12,82"
"Audi,""Q4 e-tron"",2025,""Premium Plus 4dr SUV w/45 (electric DD)"",53600,""SUV"",5,5,108.7,24.8,4685,6008,1102,2200,"""",282,"""",""rear wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-e-tron/2025/oem/2025_audi_q4-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",288,12,82"
"Audi,""Q4 e-tron"",2025,""Premium 4dr SUV w/45 (electric DD)"",49800,""SUV"",5,5,108.7,24.8,4685,6008,1102,2200,"""",282,"""",""rear wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-e-tron/2025/oem/2025_audi_q4-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",288,12,82"
"Audi,""Q4 Sportback e-tron"",2025,""Premium Plus 4dr SUV AWD w/55 (electric DD)"",62000,""SUV"",5,5,108.7,26.1,4850,6041,937,2650,"""",335,"""",""all wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-sportback-e-tron/2022/oem/2022_audi_q4-sportback-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",258,12,82"
"Audi,""Q4 Sportback e-tron"",2025,""Prestige 4dr SUV AWD w/55 (electric DD)"",64800,""SUV"",5,5,108.7,26.1,4850,6041,937,2650,"""",335,"""",""all wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-sportback-e-tron/2022/oem/2022_audi_q4-sportback-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",258,12,82"
"Audi,""Q4 Sportback e-tron"",2025,""Premium 4dr SUV AWD w/55 (electric DD)"",58200,""SUV"",5,5,108.7,26.1,4850,6041,937,2650,"""",335,"""",""all wheel drive"",""electric"","""",""https://media.ed.edmunds-media.com/audi/q4-sportback-e-tron/2022/oem/2022_audi_q4-sportback-e-tron_4dr-suv_prestige_fq_oem_1_815.jpg"",258,12,82"
"Audi,""Q5"",2025,""Premium 4dr SUV AWD w/40 TFSI (2.0L 4cyl Turbo 7AM)"",45400,""SUV"",5,5,111,25.9,4079,5379,1036,"""",2,201,236,""all wheel drive"",""gas"",26,""https://media.ed.edmunds-media.com/audi/q5/2025/oem/2025_audi_q5_4dr-suv_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""Q5"",2025,""Premium S line 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM)"",58500,""SUV"",5,5,111,25.9,4652,5941,992,2000,2,362,369,""all wheel drive"",""plug-in hybrid"",26,""https://media.ed.edmunds-media.com/audi/q5/2025/oem/2025_audi_q5_4dr-suv_prestige-s-line_fq_oem_1_815.jpg"",23,3,"""""
"Audi,""Q5"",2025,""Premium Plus S line 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM)"",63300,""SUV"",5,5,111,25.6,4652,5941,992,2000,2,362,369,""all wheel drive"",""plug-in hybrid"",26,""https://media.ed.edmunds-media.com/audi/q5/2025/oem/2025_audi_q5_4dr-suv_prestige-s-line_fq_oem_1_815.jpg"",23,3,"""""
"Audi,""Q5"",2025,""Premium Plus S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",53900,""SUV"",5,5,111,25.6,4101,5445,1036,4400,2,261,273,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/q5/2025/oem/2025_audi_q5_4dr-suv_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""Q5"",2025,""Prestige S line 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM)"",66700,""SUV"",5,5,111,25.6,4652,5941,992,2000,2,362,369,""all wheel drive"",""plug-in hybrid"",26,""https://media.ed.edmunds-media.com/audi/q5/2025/oem/2025_audi_q5_4dr-suv_prestige-s-line_fq_oem_1_815.jpg"",23,3,"""""
"Audi,""Q5"",2025,""Prestige S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",57100,""SUV"",5,5,111,25.6,4101,5445,1036,4400,2,261,273,""all wheel drive"",""mild hybrid"",25,""https://media.ed.edmunds-media.com/audi/q5/2025/oem/2025_audi_q5_4dr-suv_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
